2026.01.12 15:08:31 INFO  Progress (1): 1.0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.1 MB    
2026.01.12 15:08:31 INFO                      
2026.01.12 15:08:31 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/spring-context/6.2.11/spring-context-6.2.11-sources.jar (1.1 MB at 9.0 MB/s)
2026.01.12 15:08:31 INFO  [INFO] SUCCESS: org.springframework:spring-context:jar:6.2.11:compile (sources = true)
2026.01.12 15:08:31 INFO  [INFO] Resolving artifact: org.apache.tomcat.embed:tomcat-embed-websocket:jar:10.1.46:compile (sources = false)
2026.01.12 15:08:31 INFO  [INFO] SUCCESS: org.apache.tomcat.embed:tomcat-embed-websocket:jar:10.1.46:compile (sources = false)
2026.01.12 15:08:31 INFO  [INFO] Resolving artifact: org.apache.tomcat.embed:tomcat-embed-websocket:jar:10.1.46:compile (sources = true)
2026.01.12 15:08:31 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/embed/tomcat-embed-websocket/10.1.46/tomcat-embed-websocket-10.1.46-sources.jar
2026.01.12 15:08:31 INFO  Progress (1): 7.7/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 16/249 kB 
2026.01.12 15:08:31 INFO  Progress (1): 32/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 49/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 65/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 81/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 98/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 114/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 131/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 147/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 163/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 180/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 196/249 kB
